model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
random_forest__context_diet_labels,4,labels,6,5,-0.0004940480680903636,-0.0029680310493203077,1007,2777806.4952178
random_forest__context_diet_labels,5,context,17,1,0.0020751896900415567,0.0054075198393015445,1005,2807410.1710247993
random_forest__context_diet_labels,5,context,17,2,0.010844233978841156,0.07892853819918444,1005,2807410.1710247993
random_forest__context_diet_labels,5,context,17,3,0.009769377918079303,0.06206531174318841,1005,2807410.1710247993
random_forest__context_diet_labels,5,context,17,4,0.01322830827490995,0.09245093681516287,1005,2807410.1710247993
random_forest__context_diet_labels,5,context,17,5,0.008712273729670789,0.05555352391638346,1005,2807410.1710247993
random_forest__context_diet_labels,5,diet,15,1,-0.0011168793699880275,-0.0058523982671965236,1005,2807410.1710247993
random_forest__context_diet_labels,5,diet,15,2,0.0017030484801457413,0.008704051021196202,1005,2807410.1710247993
random_forest__context_diet_labels,5,diet,15,3,-0.0007179636632423936,0.0032017385716324176,1005,2807410.1710247993
random_forest__context_diet_labels,5,diet,15,4,-0.001294899931212401,-0.0021804321758290834,1005,2807410.1710247993
random_forest__context_diet_labels,5,diet,15,5,0.0010697248851692098,0.007708896488609729,1005,2807410.1710247993
random_forest__context_diet_labels,5,labels,6,1,-0.0007828578446832657,-0.006476856999520719,1005,2807410.1710247993
random_forest__context_diet_labels,5,labels,6,2,-0.0018919019098875,-0.014816889490671836,1005,2807410.1710247993
random_forest__context_diet_labels,5,labels,6,3,-0.0012902362245767462,-0.015583788680767818,1005,2807410.1710247993
random_forest__context_diet_labels,5,labels,6,4,-8.108314234947511e-05,0.0002867625494987758,1005,2807410.1710247993
