model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,2,water,4,-0.0007442713576016613,-0.009442612603811629,1007,2574325.41285038
spline_logistic,2,water,5,0.00027214301999287094,0.0014271884308704186,1007,2574325.41285038
spline_logistic,2,soda_frequency,1,0.00034105675885720554,0.00036208110233915125,1007,2574325.41285038
spline_logistic,2,soda_frequency,2,-0.0003779979693975255,-0.003520283812461389,1007,2574325.41285038
spline_logistic,2,soda_frequency,3,0.00042316709659745433,0.0011918775102361945,1007,2574325.41285038
spline_logistic,2,soda_frequency,4,0.0002102447239599181,-0.0005598289948703927,1007,2574325.41285038
spline_logistic,2,soda_frequency,5,-0.0005334214507915491,-0.006070325355584938,1007,2574325.41285038
spline_logistic,2,juice_frequency,1,-3.6364561838142517e-06,-0.0001644636579153369,1007,2574325.41285038
spline_logistic,2,juice_frequency,2,1.6601041852554177e-05,-0.00020453709116907692,1007,2574325.41285038
spline_logistic,2,juice_frequency,3,6.044393762372202e-05,0.0005373218152769921,1007,2574325.41285038
spline_logistic,2,juice_frequency,4,7.447443038655077e-06,-0.00014129283185593255,1007,2574325.41285038
spline_logistic,2,juice_frequency,5,4.8602592265523104e-05,0.0004389248217541164,1007,2574325.41285038
spline_logistic,2,oil,1,-1.3276011977841895e-05,9.711902434283992e-05,1007,2574325.41285038
spline_logistic,2,oil,2,2.2983171259788326e-05,0.0005062544748408726,1007,2574325.41285038
spline_logistic,2,oil,3,1.0723365723358524e-05,7.979566908900004e-05,1007,2574325.41285038
